,Building,Unit,Price,Bedrooms,Bathrooms
0,90 Washington,6T,4190,Studio, 1
1,90 Washington,17L,4300,1 Bed, 1
2,90 Washington,PHF,4600,1 Bed, 1
3,90 Washington,17L,4300,1 Bed, 1
4,90 Washington,6T,4190,Studio, 1
5,90 Washington,7J,3925,Studio, 1
6,90 Washington,3J,3775,Studio, 1
7,90 Washington,5F,3650,Studio, 1
8,90 Washington,22J,3600,Studio, 1
9,90 Washington,24F,3500,Studio, 1
10,90 Washington,7L,3450,Studio, 1
11,90 Washington,19N,"$5,100",2,1
12,100 John,2310,3500,Studio, 1
13,100 John,1815,4000,1 Bed, 1
14,100 John,1617,3600,Studio, 1
15,100 John,2310,3500,Studio, 1
16,100 John,1411,"$4,150",2,1
17,100 John,2001,"$5,400",3,1
18,100 John,1411,"$4,150",2,1
19,37 Wall,9T,3995,Studio, 1
20,37 Wall,10P,4550,1 Bed, 1
21,37 Wall,10P,4550,1 Bed, 1
22,37 Wall,9T,3995,Studio, 1
23,37 Wall,5K,3600,Studio, 1
24,37 Wall,23F,3250,Studio, 1
25,75 West,2K,4795,1 Bed, 1.5
26,75 West,2K,4795,1 Bed, 1.5
27,116 John,2808,4250,1 Bed, 1
28,116 John,2808,4250,1 Bed, 1
29,116 John,1910,3410,Studio, 1
30,116 John,2203,"$6,520",2,2
31,116 John,2203,"$6,520",2,2
32,116 John,2303,"$6,080",2,2
33,85 John ,9E,4995,1 Bed, 1
34,85 John ,13M,4990,1 Bed, 2
35,85 John ,9N,4250,1 Bed, 1
36,85 John ,9N,4250,1 Bed, 1
37,85 John ,2K,3200,Studio, 1
38,85 John ,2K,3200,Studio, 1
39,85 John ,9E,"$4,995",2,1
40,11 Maiden,3B,3100,1 Bed, 1
41,11 Maiden,12E,"$4,995",3,1
42,11 Maiden,12B,"$3,850",2,1
43,63 Wall,1106,4855,1 Bed, 1
44,63 Wall,401,5210,1 Bed, 1
45,63 Wall,401,5210,1 Bed, 1
46,63 Wall,1111,4850,1 Bed, 1
47,63 Wall,1216,4825,1 Bed, 1
48,63 Wall,1106,4855,1 Bed, 1
49,63 Wall,1517,4985,1 Bed, 1
